Value,Frequency
-2,138852
2,116613
-3,50312
3,42954
4,12950
-4,7239
5,6774
-5,5412
6,3033
-6,1712
8,1543
7,838
-7,673
-8,575
-9,49
9,48
10,21
-11,21
-12,14
-10,11
15,9
-15,3
-14,2
