Value,Frequency
-2,95315
2,77850
-1,44047
1,39216
-3,30727
3,24623
-4,19720
4,18516
5,12007
-5,6773
7,6032
-7,4871
6,1579
8,1572
12,1542
9,1481
-8,1042
-6,933
-9,681
10,654
-12,573
-10,430
-11,239
11,170
13,32
-13,28
-14,22
-17,21
14,16
15,14
-19,14
24,9
-16,8
16,7
-15,3
-24,3
-22,2
